Job runs on node:
eu-g9-024-3
REPETITIONS=8
COSTTYPE=earth-mover
NUMINPUTQUBITS=4
NUMMIDDLEQUBIT=2
EPOCHS=5000
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
FRACSAMPLEDSTATES=0.25
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
RUNID=0
srun -N 1 -n 1 python Cluster/single_run.py -ni 4 -nt 2 -b 10 -e 5000 -v 0.2 -sz 0.2 -of 'runs' -ls 1 2 3  -lp 1. 1. 1.  -lr 1 5 3
['runs/10/loss_train0', 'runs/10/loss_val0', 'runs/10/weights0']
Running AE with 4 input qubit and 2 trash qubit in batches of 10

Epoch 32, 	Batch:5, 	Train Loss = 0.468886, 	Val Loss = 0.634108
Epoch 32, 	Batch:6, 	Train Loss = 0.481592, 	Val Loss = 0.634108
Epoch 32, 	Batch:7, 	Train Loss = 0.470121, 	Val Loss = 0.634108
Epoch 33, 	Batch:0, 	Train Loss = 0.360387, 	Val Loss = 0.360155
Epoch 33, 	Batch:1, 	Train Loss = 0.378153, 	Val Loss = 0.360155
Epoch 33, 	Batch:2, 	Train Loss = 0.383020, 	Val Loss = 0.360155
Epoch 33, 	Batch:3, 	Train Loss = 0.376087, 	Val Loss = 0.360155
Epoch 33, 	Batch:4, 	Train Loss = 0.371131, 	Val Loss = 0.360155
Epoch 33, 	Batch:5, 	Train Loss = 0.368344, 	Val Loss = 0.360155
Epoch 33, 	Batch:6, 	Train Loss = 0.375678, 	Val Loss = 0.360155
Epoch 33, 	Batch:7, 	Train Loss = 0.353932, 	Val Loss = 0.360155
Epoch 34, 	Batch:0, 	Train Loss = 0.204801, 	Val Loss = 0.240008
Epoch 34, 	Batch:1, 	Train Loss = 0.264790, 	Val Loss = 0.240008
Epoch 34, 	Batch:2, 	Train Loss = 0.271234, 	Val Loss = 0.240008
Epoch 34, 	Batch:3, 	Train Loss = 0.271932, 	Val Loss = 0.240008
Epoch 34, 	Batch:4, 	Train Loss = 0.275245, 	Val Loss = 0.240008
Epoch 34, 	Batch:5, 	Train Loss = 0.269499, 	Val Loss = 0.240008
Epoch 34, 	Batch:6, 	Train Loss = 0.292983, 	Val Loss = 0.240008
Epoch 34, 	Batch:7, 	Train Loss = 0.283206, 	Val Loss = 0.240008
Epoch 35, 	Batch:0, 	Train Loss = 0.289167, 	Val Loss = 0.277649
Epoch 35, 	Batch:1, 	Train Loss = 0.322092, 	Val Loss = 0.277649
Epoch 35, 	Batch:2, 	Train Loss = 0.300367, 	Val Loss = 0.277649
