Job runs on node:
eu-g5-047-2
REPETITIONS=8
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=1
EPOCHS=50
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
FRACSAMPLEDSTATES=0.25
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
RUNID=0
srun -N 1 -n 1 python Cluster/single_run.py -ni 8 -nt 1 -b 10 -e 50 -v 0.2 -sz 0.2 -of 'runs' -ls 1 2 3  -lp 1. 1. 1.  -lr 1 5 3
Running AE with 8 input qubit and 1 trash qubit in batches of 10

Epoch 14, 	Batch:4, 	Train Loss = 0.200823, 	Val Loss = 0.248200
Epoch 14, 	Batch:5, 	Train Loss = 0.232062, 	Val Loss = 0.248200
Epoch 14, 	Batch:6, 	Train Loss = 0.240004, 	Val Loss = 0.248200
Epoch 14, 	Batch:7, 	Train Loss = 0.245750, 	Val Loss = 0.248200
Epoch 15, 	Batch:0, 	Train Loss = 0.371228, 	Val Loss = 0.340040
Epoch 15, 	Batch:1, 	Train Loss = 0.378070, 	Val Loss = 0.340040
Epoch 15, 	Batch:2, 	Train Loss = 0.344473, 	Val Loss = 0.340040
Epoch 15, 	Batch:3, 	Train Loss = 0.329459, 	Val Loss = 0.340040
Epoch 15, 	Batch:4, 	Train Loss = 0.291328, 	Val Loss = 0.340040
Epoch 15, 	Batch:5, 	Train Loss = 0.284503, 	Val Loss = 0.340040
Epoch 15, 	Batch:6, 	Train Loss = 0.277477, 	Val Loss = 0.340040
Epoch 15, 	Batch:7, 	Train Loss = 0.274383, 	Val Loss = 0.340040
Epoch 16, 	Batch:0, 	Train Loss = 0.227845, 	Val Loss = 0.237916
Epoch 16, 	Batch:1, 	Train Loss = 0.166688, 	Val Loss = 0.237916
Epoch 16, 	Batch:2, 	Train Loss = 0.191742, 	Val Loss = 0.237916
Epoch 16, 	Batch:3, 	Train Loss = 0.210854, 	Val Loss = 0.237916
Epoch 16, 	Batch:4, 	Train Loss = 0.204462, 	Val Loss = 0.237916
Epoch 16, 	Batch:5, 	Train Loss = 0.201272, 	Val Loss = 0.237916
Epoch 16, 	Batch:6, 	Train Loss = 0.206626, 	Val Loss = 0.237916
Epoch 16, 	Batch:7, 	Train Loss = 0.212225, 	Val Loss = 0.237916
Epoch 17, 	Batch:0, 	Train Loss = 0.303611, 	Val Loss = 0.338432
Epoch 17, 	Batch:1, 	Train Loss = 0.294146, 	Val Loss = 0.338432
Epoch 17, 	Batch:2, 	Train Loss = 0.292253, 	Val Loss = 0.338432
Epoch 17, 	Batch:3, 	Train Loss = 0.280290, 	Val Loss = 0.338432
Epoch 17, 	Batch:4, 	Train Loss = 0.259462, 	Val Loss = 0.338432
Epoch 17, 	Batch:5, 	Train Loss = 0.242351, 	Val Loss = 0.338432
Epoch 17, 	Batch:6, 	Train Loss = 0.243446, 	Val Loss = 0.338432
Epoch 17, 	Batch:7, 	Train Loss = 0.233431, 	Val Loss = 0.338432
Epoch 18, 	Batch:0, 	Train Loss = 0.132065, 	Val Loss = 0.194092
Epoch 18, 	Batch:1, 	Train Loss = 0.091542, 	Val Loss = 0.194092
Epoch 18, 	Batch:2, 	Train Loss = 0.185671, 	Val Loss = 0.194092
Epoch 18, 	Batch:3, 	Train Loss = 0.222902, 	Val Loss = 0.194092
Epoch 18, 	Batch:4, 	Train Loss = 0.241913, 	Val Loss = 0.194092
Epoch 18, 	Batch:5, 	Train Loss = 0.252524, 	Val Loss = 0.194092
Epoch 18, 	Batch:6, 	Train Loss = 0.235827, 	Val Loss = 0.194092
Epoch 18, 	Batch:7, 	Train Loss = 0.244241, 	Val Loss = 0.194092
Epoch 19, 	Batch:0, 	Train Loss = 0.302086, 	Val Loss = 0.187610
Epoch 19, 	Batch:1, 	Train Loss = 0.252285, 	Val Loss = 0.187610
Epoch 19, 	Batch:2, 	Train Loss = 0.262157, 	Val Loss = 0.187610
Epoch 19, 	Batch:3, 	Train Loss = 0.259808, 	Val Loss = 0.187610
Epoch 19, 	Batch:4, 	Train Loss = 0.252439, 	Val Loss = 0.187610
Epoch 19, 	Batch:5, 	Train Loss = 0.214961, 	Val Loss = 0.187610
Epoch 19, 	Batch:6, 	Train Loss = 0.221347, 	Val Loss = 0.187610
Epoch 19, 	Batch:7, 	Train Loss = 0.226211, 	Val Loss = 0.187610
Epoch 20, 	Batch:0, 	Train Loss = 0.325166, 	Val Loss = 0.293987
Epoch 20, 	Batch:1, 	Train Loss = 0.226434, 	Val Loss = 0.293987
Epoch 20, 	Batch:2, 	Train Loss = 0.234718, 	Val Loss = 0.293987
Epoch 20, 	Batch:3, 	Train Loss = 0.234892, 	Val Loss = 0.293987
Epoch 20, 	Batch:4, 	Train Loss = 0.229228, 	Val Loss = 0.293987
Epoch 20, 	Batch:5, 	Train Loss = 0.223595, 	Val Loss = 0.293987
Epoch 20, 	Batch:6, 	Train Loss = 0.226562, 	Val Loss = 0.293987
Epoch 20, 	Batch:7, 	Train Loss = 0.223808, 	Val Loss = 0.293987
Epoch 21, 	Batch:0, 	Train Loss = 0.304326, 	Val Loss = 0.309008
Epoch 21, 	Batch:1, 	Train Loss = 0.289682, 	Val Loss = 0.309008
Epoch 21, 	Batch:2, 	Train Loss = 0.290826, 	Val Loss = 0.309008
Epoch 21, 	Batch:3, 	Train Loss = 0.296096, 	Val Loss = 0.309008
Epoch 21, 	Batch:4, 	Train Loss = 0.272364, 	Val Loss = 0.309008
Epoch 21, 	Batch:5, 	Train Loss = 0.253411, 	Val Loss = 0.309008
Epoch 21, 	Batch:6, 	Train Loss = 0.222921, 	Val Loss = 0.309008
Epoch 21, 	Batch:7, 	Train Loss = 0.234245, 	Val Loss = 0.309008
Epoch 22, 	Batch:0, 	Train Loss = 0.303256, 	Val Loss = 0.303880
