Job runs on node:
eu-g9-040-4
REPETITIONS=8
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=1
EPOCHS=300
OPTSTEP=0.2
BATCHSIZE=8
VALSPLIT=0.2
FRACSAMPLEDSTATES=0.25
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
RUNID=1
NO JAX
srun -N 1 -n 1 python Cluster/single_run.py -ni 8 -nt 1 -b 8 -e 300 -v 0.2 -sz 0.2 -of 'runs/ed' -ls 1 2 3  -lp 1. 1. 1.  -lr 1 5 3 -njx

Epoch 22, 	Batch:6, 	Train Loss = 0.105308, 	Val Loss = 0.101173
Epoch 22, 	Batch:7, 	Train Loss = 0.110467, 	Val Loss = 0.101173
Epoch 22, 	Batch:8, 	Train Loss = 0.114323, 	Val Loss = 0.101173
Epoch 22, 	Batch:9, 	Train Loss = 0.115955, 	Val Loss = 0.101173
Epoch 23, 	Batch:0, 	Train Loss = 0.049642, 	Val Loss = 0.073362
Epoch 23, 	Batch:1, 	Train Loss = 0.117865, 	Val Loss = 0.073362
Epoch 23, 	Batch:2, 	Train Loss = 0.133285, 	Val Loss = 0.073362
Epoch 23, 	Batch:3, 	Train Loss = 0.115787, 	Val Loss = 0.073362
Epoch 23, 	Batch:4, 	Train Loss = 0.121954, 	Val Loss = 0.073362
Epoch 23, 	Batch:5, 	Train Loss = 0.111197, 	Val Loss = 0.073362
Epoch 23, 	Batch:6, 	Train Loss = 0.112535, 	Val Loss = 0.073362
Epoch 23, 	Batch:7, 	Train Loss = 0.116257, 	Val Loss = 0.073362
Epoch 23, 	Batch:8, 	Train Loss = 0.113238, 	Val Loss = 0.073362
Epoch 23, 	Batch:9, 	Train Loss = 0.114781, 	Val Loss = 0.073362
Epoch 24, 	Batch:0, 	Train Loss = 0.088288, 	Val Loss = 0.151880
Epoch 24, 	Batch:1, 	Train Loss = 0.096724, 	Val Loss = 0.151880
Epoch 24, 	Batch:2, 	Train Loss = 0.111848, 	Val Loss = 0.151880
Epoch 24, 	Batch:3, 	Train Loss = 0.121709, 	Val Loss = 0.151880
Epoch 24, 	Batch:4, 	Train Loss = 0.108271, 	Val Loss = 0.151880
Epoch 24, 	Batch:5, 	Train Loss = 0.111363, 	Val Loss = 0.151880
Epoch 24, 	Batch:6, 	Train Loss = 0.113582, 	Val Loss = 0.151880
Epoch 24, 	Batch:7, 	Train Loss = 0.118629, 	Val Loss = 0.151880
Epoch 24, 	Batch:8, 	Train Loss = 0.114070, 	Val Loss = 0.151880
Epoch 24, 	Batch:9, 	Train Loss = 0.117227, 	Val Loss = 0.151880
Epoch 25, 	Batch:0, 	Train Loss = 0.143512, 	Val Loss = 0.140676
Epoch 25, 	Batch:1, 	Train Loss = 0.116243, 	Val Loss = 0.140676
