Job runs on node:
eu-g9-013-2
REPETITIONS=8
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=1
EPOCHS=2500
OPTSTEP=0.2
BATCHSIZE=100
VALSPLIT=0.2
FRACSAMPLEDSTATES=0.25
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
RUNID=0
NO JAX
srun -N 1 -n 1 python Cluster/single_run.py -ni 8 -nt 1 -b 100 -e 2500 -v 0.2 -sz 0.2 -of 'runs/ee' -ls 1 2 3  -lp 1. 1. 1.  -lr 1 5 3 -njx

Epoch 210, 	Batch:0, 	Train Loss = 0.049955, 	Val Loss = 0.058176
Epoch 211, 	Batch:0, 	Train Loss = 0.039598, 	Val Loss = 0.050711
Epoch 212, 	Batch:0, 	Train Loss = 0.052698, 	Val Loss = 0.064998
Epoch 213, 	Batch:0, 	Train Loss = 0.033770, 	Val Loss = 0.041778
Epoch 214, 	Batch:0, 	Train Loss = 0.053176, 	Val Loss = 0.054809
Epoch 215, 	Batch:0, 	Train Loss = 0.029060, 	Val Loss = 0.036727
Epoch 216, 	Batch:0, 	Train Loss = 0.056603, 	Val Loss = 0.068226
Epoch 217, 	Batch:0, 	Train Loss = 0.024601, 	Val Loss = 0.034317
Epoch 218, 	Batch:0, 	Train Loss = 0.052860, 	Val Loss = 0.060873
Epoch 219, 	Batch:0, 	Train Loss = 0.029835, 	Val Loss = 0.037885
Epoch 220, 	Batch:0, 	Train Loss = 0.063155, 	Val Loss = 0.075336
Epoch 221, 	Batch:0, 	Train Loss = 0.048211, 	Val Loss = 0.059845
Epoch 222, 	Batch:0, 	Train Loss = 0.055034, 	Val Loss = 0.058615
Epoch 223, 	Batch:0, 	Train Loss = 0.052246, 	Val Loss = 0.056477
Epoch 224, 	Batch:0, 	Train Loss = 0.045421, 	Val Loss = 0.054537
Epoch 225, 	Batch:0, 	Train Loss = 0.068095, 	Val Loss = 0.078003
Epoch 226, 	Batch:0, 	Train Loss = 0.029355, 	Val Loss = 0.036335
Epoch 227, 	Batch:0, 	Train Loss = 0.044322, 	Val Loss = 0.046412
Epoch 228, 	Batch:0, 	Train Loss = 0.033315, 	Val Loss = 0.037473
Epoch 229, 	Batch:0, 	Train Loss = 0.039848, 	Val Loss = 0.047067
Epoch 230, 	Batch:0, 	Train Loss = 0.031152, 	Val Loss = 0.036503
Epoch 231, 	Batch:0, 	Train Loss = 0.028199, 	Val Loss = 0.034751
Epoch 232, 	Batch:0, 	Train Loss = 0.039752, 	Val Loss = 0.051536
Epoch 233, 	Batch:0, 	Train Loss = 0.023235, 	Val Loss = 0.033072
Epoch 234, 	Batch:0, 	Train Loss = 0.032459, 	Val Loss = 0.040072
Epoch 235, 	Batch:0, 	Train Loss = 0.022105, 	Val Loss = 0.031873
Epoch 236, 	Batch:0, 	Train Loss = 0.028496, 	Val Loss = 0.039596
Epoch 237, 	Batch:0, 	Train Loss = 0.030683, 	Val Loss = 0.037092
Epoch 238, 	Batch:0, 	Train Loss = 0.021351, 	Val Loss = 0.031340
Epoch 239, 	Batch:0, 	Train Loss = 0.024673, 	Val Loss = 0.035872
Epoch 240, 	Batch:0, 	Train Loss = 0.035364, 	Val Loss = 0.044922
Epoch 241, 	Batch:0, 	Train Loss = 0.018209, 	Val Loss = 0.029875
Epoch 242, 	Batch:0, 	Train Loss = 0.023258, 	Val Loss = 0.036072
Epoch 243, 	Batch:0, 	Train Loss = 0.046284, 	Val Loss = 0.054710
Epoch 244, 	Batch:0, 	Train Loss = 0.019306, 	Val Loss = 0.029807
Epoch 245, 	Batch:0, 	Train Loss = 0.057690, 	Val Loss = 0.070411
Epoch 246, 	Batch:0, 	Train Loss = 0.020023, 	Val Loss = 0.030396
Epoch 247, 	Batch:0, 	Train Loss = 0.066234, 	Val Loss = 0.072084
Epoch 248, 	Batch:0, 	Train Loss = 0.037229, 	Val Loss = 0.045138
Epoch 249, 	Batch:0, 	Train Loss = 0.083342, 	Val Loss = 0.094649
Epoch 250, 	Batch:0, 	Train Loss = 0.091298, 	Val Loss = 0.101859
Epoch 251, 	Batch:0, 	Train Loss = 0.026181, 	Val Loss = 0.034572
Epoch 252, 	Batch:0, 	Train Loss = 0.066526, 	Val Loss = 0.069734
Epoch 253, 	Batch:0, 	Train Loss = 0.050277, 	Val Loss = 0.054696
Epoch 254, 	Batch:0, 	Train Loss = 0.050158, 	Val Loss = 0.061148
Epoch 255, 	Batch:0, 	Train Loss = 0.056573, 	Val Loss = 0.067492
Epoch 256, 	Batch:0, 	Train Loss = 0.034498, 	Val Loss = 0.039491
Epoch 257, 	Batch:0, 	Train Loss = 0.057948, 	Val Loss = 0.060963
Epoch 258, 	Batch:0, 	Train Loss = 0.026885, 	Val Loss = 0.032752
Epoch 259, 	Batch:0, 	Train Loss = 0.042512, 	Val Loss = 0.051449
Epoch 260, 	Batch:0, 	Train Loss = 0.024745, 	Val Loss = 0.031840
Epoch 261, 	Batch:0, 	Train Loss = 0.038181, 	Val Loss = 0.044137
Epoch 262, 	Batch:0, 	Train Loss = 0.022901, 	Val Loss = 0.030925
Epoch 263, 	Batch:0, 	Train Loss = 0.051994, 	Val Loss = 0.064532
Epoch 264, 	Batch:0, 	Train Loss = 0.023503, 	Val Loss = 0.034472
Epoch 265, 	Batch:0, 	Train Loss = 0.059101, 	Val Loss = 0.065498
Epoch 266, 	Batch:0, 	Train Loss = 0.040928, 	Val Loss = 0.048748
Epoch 267, 	Batch:0, 	Train Loss = 0.062836, 	Val Loss = 0.075274
Epoch 268, 	Batch:0, 	Train Loss = 0.065663, 	Val Loss = 0.077776
Epoch 269, 	Batch:0, 	Train Loss = 0.026380, 	Val Loss = 0.034012
Epoch 270, 	Batch:0, 	Train Loss = 0.057135, 	Val Loss = 0.061116
Epoch 271, 	Batch:0, 	Train Loss = 0.024753, 	Val Loss = 0.033439
Epoch 272, 	Batch:0, 	Train Loss = 0.042010, 	Val Loss = 0.052982
Epoch 273, 	Batch:0, 	Train Loss = 0.021967, 	Val Loss = 0.030716
Epoch 274, 	Batch:0, 	Train Loss = 0.041121, 	Val Loss = 0.048028
Epoch 275, 	Batch:0, 	Train Loss = 0.049215, 	Val Loss = 0.058254
Epoch 276, 	Batch:0, 	Train Loss = 0.048688, 	Val Loss = 0.059304
Epoch 277, 	Batch:0, 	Train Loss = 0.047981, 	Val Loss = 0.055980
Epoch 278, 	Batch:0, 	Train Loss = 0.046807, 	Val Loss = 0.050991
Epoch 279, 	Batch:0, 	Train Loss = 0.027734, 	Val Loss = 0.034617
Epoch 280, 	Batch:0, 	Train Loss = 0.040477, 	Val Loss = 0.047610
Epoch 281, 	Batch:0, 	Train Loss = 0.033886, 	Val Loss = 0.043309
Epoch 282, 	Batch:0, 	Train Loss = 0.029931, 	Val Loss = 0.034587
Epoch 283, 	Batch:0, 	Train Loss = 0.033515, 	Val Loss = 0.038146
Epoch 284, 	Batch:0, 	Train Loss = 0.031800, 	Val Loss = 0.039312
Epoch 285, 	Batch:0, 	Train Loss = 0.040620, 	Val Loss = 0.051050
Epoch 286, 	Batch:0, 	Train Loss = 0.056986, 	Val Loss = 0.065398
Epoch 287, 	Batch:0, 	Train Loss = 0.038383, 	Val Loss = 0.044066
Epoch 288, 	Batch:0, 	Train Loss = 0.030999, 	Val Loss = 0.038680
Epoch 289, 	Batch:0, 	Train Loss = 0.040517, 	Val Loss = 0.048704
Epoch 290, 	Batch:0, 	Train Loss = 0.030637, 	Val Loss = 0.040208
Epoch 291, 	Batch:0, 	Train Loss = 0.030429, 	Val Loss = 0.036646
Epoch 292, 	Batch:0, 	Train Loss = 0.024861, 	Val Loss = 0.032407
Epoch 293, 	Batch:0, 	Train Loss = 0.030230, 	Val Loss = 0.039719
Epoch 294, 	Batch:0, 	Train Loss = 0.025084, 	Val Loss = 0.033234
Epoch 295, 	Batch:0, 	Train Loss = 0.029506, 	Val Loss = 0.036337
